pathway,pval,padj,log2err,ES,NES,size,leadingEdge
1,0.014227642276422764,0.0486606045711477,0.15722006939374256,0.2669370665143062,1.7361528360532053,65,
10,0.9810126582278481,0.9810126582278481,0.013250334189967811,0.0978895278233457,0.5139219838391657,32,
11,0.776375897324342,0.9489038745075291,0.019368404522966055,-0.15736233265067678,-0.754724457247706,22,
12,0.966745333619395,0.9810126582278481,0.01593221035267821,-0.11602087985728327,-0.5490290301350209,21,
2,1.6769897206040565e-9,1.844688692664462e-8,0.7881868108002371,0.38331202382564966,2.9661351931402398,136,
4,0.6240280912967143,0.8580386255329822,0.02507199126064975,-0.11794718180623082,-0.891321698512454,85,
5,0.017694765298599164,0.0486606045711477,0.17000427848892652,-0.2270357043630005,-1.657917394049,75,
6,0.2808988764044944,0.5595666516719148,0.04003182126650252,-0.15533221218524862,-1.1277385130941509,73,
7,0.4203935599284436,0.6606184513161257,0.029987983679646623,-0.18489363259321356,-1.0204298260176436,32,
8,0.0010370026513974282,0.005703514582685855,0.45505986738722953,-0.19722559473340084,-1.8151911227245725,210,
9,0.30521817363922626,0.5595666516719148,0.0364175856719683,-0.19063274588232532,-1.1196407110779727,38,
